Driver_ID,Name,Degree,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality
54,Burti,31,0.03604651162790698,0.0003960282715174902,0.11925116151418569
180,Berg,31,0.03604651162790698,0.00028415109661323934,0.11457079643560443
113,Adams,30,0.03488372093023256,0.005974588082744959,0.0099705301141395
191,Thackwell,29,0.033720930232558136,0.0014251064848194326,0.09281973120412766
80,Sospiri,29,0.033720930232558136,0.0002785947550206593,0.10310872932900084
182,Lauda,29,0.033720930232558136,0.0011972615230989158,0.1110489374378892
59,Bernoldi,27,0.031395348837209305,0.00013223064704730408,0.11097341390585895
183,Hesnault,27,0.031395348837209305,0.0001744669512330709,0.10066213374546029
200,Mass,26,0.030232558139534883,0.0001517361861894168,0.09672289193936003
187,Watson,26,0.030232558139534883,0.00015457589597219797,0.09355450126198138
181,Winkelhock,26,0.030232558139534883,0.00011804293189751105,0.10170246800149778
117,Prost,25,0.029069767441860465,0.0004914588178560044,0.07662028051234454
82,Fontana,25,0.029069767441860465,0.00011565747287984605,0.09943605316197225
11,Sato,25,0.029069767441860465,0.00023825883828103102,0.09222860087876034
53,Kiesa,24,0.027906976744186046,9.453550262712489e-05,0.09136228585608666
64,Diniz,24,0.027906976744186046,7.158948227025159e-05,0.09753325335001478
29,Yamamoto,24,0.027906976744186046,4.5410853231341165e-05,0.08989293540109798
131,Modena,23,0.026744186046511628,0.00020811152901533894,0.08104707667880579
39,Karthikeyan,23,0.026744186046511628,0.00010153269332610493,0.0767620781969978
95,Mansell,22,0.02558139534883721,0.000247139671889426,0.0744426660253009
118,Warwick,21,0.02441860465116279,0.00010851899541761786,0.06607711816288403
125,Naspetti,21,0.02441860465116279,5.834641322391261e-05,0.06336132798213688
55,Alesi,21,0.02441860465116279,7.847235246432783e-06,0.09642020587788463
81,Morbidelli,20,0.023255813953488372,5.5957860200122395e-05,0.07990972851737545
42,Pizzonia,19,0.022093023255813953,8.109278415563074e-05,0.05575049421933122
128,van de Poele,19,0.022093023255813953,8.334303960922809e-05,0.055709589505269705
46,Bruni,19,0.022093023255813953,4.767098096838215e-05,0.06459671973492902
16,Sutil,18,0.020930232558139535,0.00011660967856319311,0.06707479547439722
114,Dalmas,18,0.020930232558139535,0.0017065836563409224,0.009666331964555045
204,Paletti,18,0.020930232558139535,2.560491557821782e-05,0.07917410834801333
10,Glock,17,0.019767441860465116,0.00016084452639269736,0.045835529456048754
48,Gené,17,0.019767441860465116,2.789376206708892e-05,0.056430080290418835
195,Guerrero,17,0.019767441860465116,6.218637657526894e-05,0.0648206456874239
33,Monteiro,17,0.019767441860465116,4.426866044019118e-05,0.062814419313677
7,Bourdais,16,0.018604651162790697,0.0002724249860457026,0.05332339451845841
78,Larini,16,0.018604651162790697,2.7081779105099484e-05,0.06690388126512978
35,Villeneuve,16,0.018604651162790697,6.051319045888176e-06,0.06545819559142207
56,Irvine,16,0.018604651162790697,2.576544306065163e-05,0.06720401067556137
